,key,handstrat,participant,melody,sex,age,score,genre,proc,qommax,qommin,qomav,handdistmax,handdistmin,handdistav,zmax,zmin,distlh,distrh
0,0,3,10,27,F,24,438,sc,syn,2533.16021083,1364.8052571,1956.96949131,680.998252795,300.500633766,497.151955283,1827.79263988,869.810919445,3983.72611386,4220.78851669
1,1,2,26,7,M,34,924,jo,norm,2186.21413747,1627.12505611,1963.38257011,729.975529572,282.509192016,527.514013212,1520.05870633,1063.91608842,2688.74362195,2716.88402628
2,2,5,1,25,M,23,465,sc,syn,2879.82202018,1597.44560431,2437.52013373,1408.12149966,214.182448679,873.473716642,2027.89486686,947.82765373,5896.20636434,6083.72966919
3,3,4,26,17,M,34,924,im,syn,2118.73173688,1649.47217132,1890.6064449,604.167635427,292.610295873,461.096270538,1519.37631948,1001.03667888,2608.78543342,2924.7961343
4,4,3,25,19,M,64,879,im,syn,2632.74233141,1485.48190678,2151.44176341,1049.918584,280.421369653,686.849240644,1813.3240298,890.272999506,3264.08789744,3689.14438055
5,5,4,1,10,M,23,465,sc,norm,2468.62839447,2019.18934715,2277.85818091,926.545638123,273.494615898,589.959019873,1707.86375934,1117.86237666,4404.90309274,3713.47281724
6,6,1,6,8,M,37,973,jo,norm,1967.27277603,1303.06460929,1638.36140307,1019.2098802,492.788115264,754.872189516,1587.0328736,851.596501054,229.850714789,2476.85387277
7,7,3,2,7,F,53,989,jo,norm,2426.91150273,1274.74834786,2021.68406055,698.584371327,572.296744715,647.834015036,1664.70119979,810.187043634,2000.0923886,2030.20186263
8,8,1,4,10,M,26,958,sc,norm,1938.09724824,1386.8543807,1694.80726839,1005.59513382,629.084437447,781.782551538,1657.6196608,839.419041339,238.526171628,2598.97632047
9,9,3,2,16,F,53,989,vo,norm,2751.06999732,1411.94876985,2379.54949288,672.645077175,511.815874963,589.212526944,1920.68597896,894.696741623,2789.78347994,2935.68796307
10,10,6,10,8,F,24,438,jo,norm,1809.88619212,1216.42775681,1541.01122299,740.650317334,405.704633646,564.009450621,1295.43086627,793.609246442,1755.65606562,2508.24577272
11,11,2,22,27,F,28,524,sc,syn,1429.37960223,766.672369217,1209.49902752,678.809607231,233.871615771,478.7905741,1031.97218521,273.299944194,1185.62464933,1626.74347426
12,12,1,4,26,M,26,958,sc,syn,2068.78427893,1289.58090058,1726.5360276,1176.02442218,560.894937106,841.84567345,1824.37704332,819.287314872,232.963641846,3197.91110422
13,13,3,10,28,F,24,438,sc,syn,2001.75134958,1198.20247984,1670.82935843,875.57203646,200.315825761,472.62455115,1394.37117714,768.257002454,5216.7180056,4083.17729046
14,14,6,21,20,F,49,965,im,syn,1370.42310383,930.966752984,1215.54824334,659.870463075,354.814617158,468.527899239,954.407305295,475.79648812,3020.39577346,3062.67935989
15,15,1,28,32,F,41,662,vo,syn,1979.78668963,1169.6162061,1664.56754464,826.219294668,386.474052677,609.724021366,1640.59177995,765.824715051,3096.90019898,4718.07276234
16,16,4,1,8,M,23,465,jo,norm,2398.58200645,1752.49367517,2081.90324235,635.858674515,79.5399679742,263.330431146,1549.32291272,955.102141049,4455.89549165,4012.5494505
17,17,2,20,22,F,20,499,jo,syn,2307.6624982,1806.73423805,2168.95995993,693.552019366,167.546277727,481.369744708,1775.89054151,1192.29800096,553.985416251,3882.14862576
18,18,2,26,25,M,34,924,sc,syn,2073.57478518,1580.92808954,1829.82461537,625.20928383,96.4754493525,367.038196572,1630.0536254,928.012954017,2639.57718381,3924.15707869
19,19,2,18,31,M,30,992,vo,syn,2091.21405696,1598.43343983,1867.71264965,980.429865877,188.459214359,661.588159426,1440.87729605,994.152715627,2267.12434298,2886.03019652
20,20,3,10,1,F,24,438,im,norm,2091.00636918,1315.78641729,1800.08430877,1133.18271615,128.09460392,718.201150129,1370.6401282,829.447228198,2271.80039598,2329.72729526
21,21,4,26,16,M,34,924,vo,norm,2472.94261076,1658.37465285,2010.97545137,660.341002408,278.526112984,433.387313626,1689.74096603,1119.96062759,2666.47883551,2630.87661663
22,22,2,28,14,F,41,662,vo,norm,1961.52741349,1169.59089338,1748.4900831,951.097514638,169.466566864,676.322982934,1574.19845796,761.916444081,5162.47441179,4671.86613044
23,23,4,9,1,F,31,913,im,norm,2419.46564422,1037.2987054,1689.91065397,643.433745612,160.546227306,358.384577713,1706.04926149,487.312106173,2971.36598035,2438.68273085
24,24,2,2,31,F,53,989,vo,syn,2695.85273801,1474.47283695,2206.05033624,1417.36213043,288.670087713,637.753727638,2320.35171771,942.573026047,937.348112134,3348.8895286
25,25,4,21,28,F,49,965,sc,syn,2157.06910081,1099.88498776,1562.40924684,577.558024649,342.981545107,421.966525137,1353.76999201,465.746419207,4645.22975732,4489.32693779
26,26,4,9,26,F,31,913,sc,syn,2445.46427188,1171.13153027,1995.16054973,553.708073205,135.554151142,258.912328745,1801.75904777,742.40647238,4806.94107493,4733.58040664
27,27,3,25,1,M,64,879,im,norm,2423.90725613,1244.55026856,2069.68628864,1187.35751766,235.838613734,648.517070464,1624.50273132,776.542000022,3351.60935168,3487.43624318
28,28,3,3,24,F,29,972,jo,syn,2447.38053915,1197.80059304,2033.76602356,871.751700674,620.297544336,740.966117524,1699.84493494,786.131961338,2141.38799108,2453.71423351
29,29,2,7,10,M,25,839,sc,norm,1967.32885148,1695.81351153,1857.93712923,696.86270518,463.892171894,599.6666127,1374.11822311,1096.1014202,2129.23159989,1219.05186795
30,30,2,22,25,F,28,524,sc,syn,1374.74236868,754.045107276,1134.2468201,618.404154254,236.468857927,417.047999075,1051.61941271,331.77179967,441.11418227,1566.67142439
31,31,3,2,25,F,53,989,sc,syn,2941.60747737,1235.60226023,2156.48361634,682.406139622,228.88869457,461.576088635,2199.10239814,802.069747522,3593.22853728,4406.67464309
32,32,6,21,12,F,49,965,sc,norm,1862.00066159,1159.48202964,1532.54298614,847.513571153,365.604664973,523.972438262,1401.66885016,750.944879651,2898.80481334,3466.63389671
33,33,3,8,16,F,20,262,vo,norm,2422.29813682,1320.72340998,1793.32388306,644.612361187,251.545133512,458.75592886,1708.63719505,810.769665474,3233.2004074,3495.72696384
34,34,3,2,12,F,53,989,sc,norm,2792.07114958,1671.09391445,2297.37259411,539.334856125,354.693922377,453.070719551,1953.81458954,958.01958607,2328.95250508,2103.06101251
35,35,3,5,8,M,30,563,jo,norm,2176.96356299,1759.63184275,2080.11893864,1077.190542,288.324983676,716.435953897,1505.07239326,1092.80557252,2114.28224754,2570.34508549
36,36,2,28,13,F,41,662,vo,norm,2080.81662314,1171.09860179,1753.98521391,927.42640443,409.94530936,696.782009843,1587.76602782,783.166088576,2227.02184069,3013.17371312
37,37,1,18,30,M,30,992,vo,syn,1986.96766454,1243.04978223,1753.93138524,994.160711435,153.454801793,748.01168216,1552.26366067,826.131288516,1375.18253301,3499.22636806
38,38,3,5,4,M,30,563,im,norm,2741.13986036,1308.16017582,2407.83715722,1431.82032707,200.569433328,1030.54751013,1827.95321478,831.876833987,5787.05155308,5398.00656333
39,39,1,4,19,M,26,958,im,syn,1882.42569531,1307.32223969,1631.82046887,989.298461296,564.225757231,754.100496805,1603.88922013,809.865263197,380.98419191,2689.27844121
40,40,2,8,18,F,20,262,im,syn,2319.17021288,1307.64606339,1662.98270975,663.655112013,215.982388814,445.615633582,1662.63110083,801.357066462,3951.52617049,3807.83691302
41,41,1,6,30,M,37,973,vo,syn,2162.44542975,1349.14585764,1804.16502754,1194.43753685,532.745339791,922.338191616,1865.32089721,884.951257309,256.408846051,3169.69355827
42,42,1,18,32,M,30,992,vo,syn,2199.81885112,1550.44104632,1886.86266575,1048.94689425,364.917129398,712.505667455,1513.83671679,823.532269163,3017.58100352,4471.10273086
43,43,2,20,32,F,20,499,vo,syn,2290.71838921,1337.09355743,1939.62584639,723.213592864,230.501824608,458.321660325,1598.64655993,824.536238262,1873.67751428,1913.66364375
44,44,4,28,30,F,41,662,vo,syn,2177.80695684,1212.55295412,1692.25370864,996.628278813,434.768710704,719.137470443,1571.63407395,809.67792186,4109.95594785,4162.79366996
45,45,2,18,7,M,30,992,jo,norm,2072.77086258,1317.36372961,1765.33183981,1015.75146185,205.93953583,678.184998639,1567.91187699,820.152996457,1297.29577735,3277.27594409
46,46,6,21,11,F,49,965,sc,norm,1785.77740832,1304.57012074,1624.85778507,488.658576593,96.7207208155,334.815366588,1239.48248171,722.448553135,2708.129119,2745.02503268
47,47,4,9,10,F,31,913,sc,norm,2456.99172157,1238.18555667,1999.49013704,618.815238567,115.68434669,306.700338383,1738.43220978,801.969430145,3984.7834306,4878.80635324
48,48,3,9,5,F,31,913,jo,norm,2335.91390158,1372.22320344,1928.88414603,909.151546562,175.332030947,489.783658038,1845.27146105,821.81555265,2610.19004717,3011.80651885
49,49,1,4,7,M,26,958,jo,norm,1838.54440582,1304.38517812,1633.59060383,922.009944718,458.213695474,694.902005367,1551.36916758,843.840518402,342.212814352,2403.35009884
50,50,1,4,11,M,26,958,sc,norm,1815.69617402,1309.49509669,1604.05935361,859.367620912,417.173378171,684.370488358,1477.94418633,815.24492431,457.916564589,2163.24066368
51,51,5,28,6,F,41,662,jo,norm,2030.26615331,1152.30291973,1663.37749351,960.252198515,395.166619274,710.710274068,1602.94270507,773.738511876,1803.70055652,3304.97369479
52,52,2,20,19,F,20,499,im,syn,2319.61463419,1344.06242157,2012.76427653,648.908692419,165.112535169,480.450204456,1657.88315344,776.285999996,2363.63731272,2416.79839325
53,53,1,20,29,F,20,499,vo,syn,1808.00832892,1364.73860218,1662.48106002,908.425348248,640.305258453,801.311364483,1489.52997261,799.359619137,525.140343894,2253.24715585
