	key	handstrat	participant	melody	sex	age	score	genre	proc	qommax	qommin	qomav	handdistmax	handdistmin	handdistav	zmax	zmin	distlh	distrh
0	0	3	10	27	F	24	438	sc	syn	2571.1905250576	11.8321595662	1849.1842438739	697.1156332697	287.669551724	472.0413962261	1828.51082005	836.801392097	5165.0698980383	5601.0162570916
1	1	5	1	25	M	23	465	sc	syn	2911.6609304319	11.8321595662	2574.227021065	1408.767884707	215.1947013971	795.7908699911	2028.03552287	947.262964844	6656.6400025039	6718.585072981
2	2	4	1	10	M	23	465	sc	norm	2544.3002610212	11.8321595662	2357.3003803752	1002.493835192	180.926554919	576.3689334982	1708.50776225	1117.94850224	6115.0306524408	4756.876381948
3	3	1	6	8	M	37	973	jo	norm	1982.5857514046	11.8321595662	1681.2605677008	1012.2668079915	490.5319320276	763.9007752843	1587.29823953	837.096934786	309.069240133	2800.2758786151
4	4	3	2	7	F	53	989	jo	norm	2447.3584561305	11.8321595662	2146.2035235411	701.5901441345	578.2002356786	656.7265495308	1665.28228117	725.052841224	3506.4749388338	3762.0239597079
5	5	3	2	16	F	53	989	vo	norm	2799.2685711263	11.8321595662	2535.011047088	678.580371974	509.3430310361	592.4191663934	1922.44075839	804.209826601	3942.5245101624	4533.3329757123
6	6	6	10	8	F	24	438	jo	norm	1805.4933171114	11.8321595662	1497.3534184604	719.5271602448	409.7756967504	556.7304743157	1295.37917303	793.557272743	1943.0616582618	2648.2548019815
7	7	3	10	28	F	24	438	sc	syn	1912.1368063592	11.8321595662	1601.2717438544	985.1969505047	240.6917847356	474.907652187	1394.47595674	759.469719987	5070.9595240013	4193.1136100483
8	8	1	28	32	F	41	662	vo	syn	2012.6450517438	11.8321595662	1687.8862048303	919.2842796625	376.6404942057	582.918575067	1640.65375074	760.346469391	3200.7968981716	4961.7074649092
9	9	4	1	8	M	23	465	jo	norm	2422.2153440621	11.8321595662	2074.9561530136	646.3290296652	173.8599536739	260.7989371118	1549.66233488	954.205310814	4899.6733143835	4588.7028441565
10	10	2	20	22	F	20	499	jo	syn	2374.1968237083	11.8321595662	2223.102303873	704.4704560148	201.9003097243	461.995442186	1776.02013066	1164.94094073	754.5481901828	4337.6041330953
11	11	2	18	31	M	30	992	vo	syn	2177.6420325857	11.8321595662	1948.7178698212	979.899574382	143.4568156983	640.9697296657	1440.977	993.963515614	2630.0812971147	3738.3459615023
12	12	3	10	1	F	24	438	im	norm	2183.7356245199	11.8321595662	1902.0778446729	1135.3734514268	69.2937658278	649.7522934933	1370.86733804	800.244999895	3014.8665689864	3055.2637289395
