,0
0,10
1,6
2,8
3,0
4,10
5,2
6,9
7,7
8,6
9,9
10,15
11,7
12,10
13,9
14,5
15,12
16,11
17,3
18,15
19,13
20,7
21,7
22,5
23,10
24,8
25,14
26,2
27,13
28,0
29,15
30,15
31,13
32,0
33,14
34,11
35,0
36,9
37,4
38,0
39,7
40,12
41,14
42,9
43,8
44,8
45,11
46,15
47,14
48,13
49,11
50,3
51,0
52,4
53,7
54,5
55,12
56,13
57,11
58,3
59,2
60,14
61,1
62,13
63,0
64,11
65,2
66,2
67,12
68,15
69,15
70,6
71,13
72,6
73,10
74,9
75,8
76,4
77,6
78,10
79,5
80,2
81,7
82,12
83,6
84,0
85,4
86,4
87,3
88,3
89,11
90,11
91,3
92,12
93,5
94,6
95,6
96,6
97,3
98,2
99,11
100,8
101,7
102,10
103,3
104,9
105,1
106,5
107,11
108,1
109,8
110,6
111,2
112,15
113,3
114,2
115,3
116,12
117,12
118,3
119,7
120,1
121,11
122,12
123,6
124,4
125,12
126,9
127,3
128,2
129,7
130,8
131,14
132,1
133,7
134,14
135,7
136,13
137,13
138,13
139,8
140,9
141,10
142,8
143,5
144,8
145,14
146,12
147,6
148,12
149,13
150,0
151,14
152,0
153,0
154,5
155,13
156,1
157,11
158,14
159,13
160,5
161,12
162,10
163,3
164,15
165,2
166,13
167,15
168,11
169,4
170,13
171,0
172,4
173,6
174,0
175,13
176,14
177,2
178,10
179,9
180,1
181,7
182,2
183,1
184,5
185,0
186,6
187,0
188,10
189,0
190,3
191,5
192,3
193,11
194,13
195,5
196,4
197,1
198,5
199,0
200,11
201,2
202,3
203,11
204,3
205,11
206,3
207,14
208,14
209,13
210,6
211,1
212,11
213,11
214,10
215,1
216,10
217,15
218,4
219,15
220,9
221,15
222,2
223,5
224,10
225,9
226,10
227,3
228,5
229,4
230,14
231,14
232,6
233,6
234,7
235,1
236,10
237,13
238,2
239,12
240,1
241,7
242,3
243,9
244,4
245,1
246,14
247,4
248,15
249,9
250,0
251,5
252,5
253,7
254,7
255,14
256,13
257,12
258,0
259,7
260,3
261,14
262,4
263,3
264,5
265,1
266,5
267,13
268,4
269,14
270,15
271,5
272,8
273,2
274,15
275,10
276,4
277,7
278,15
279,2
280,9
281,8
282,0
283,3
284,2
285,10
286,13
287,7
288,12
289,9
290,1
291,15
292,7
293,10
294,13
295,12
296,6
297,10
298,12
299,0
300,4
301,11
302,1
303,9
304,11
305,5
306,4
307,15
308,9
309,4
310,3
311,9
312,9
313,0
314,15
315,3
316,7
317,6
318,11
319,4
320,6
321,4
322,5
323,12
324,5
325,6
326,2
327,9
328,9
329,12
330,15
331,4
332,11
333,4
334,2
335,13
336,15
337,11
338,2
339,1
340,0
341,0
342,5
343,5
344,14
345,14
346,12
347,7
348,3
349,12
350,0
351,15
352,14
353,5
354,4
355,0
356,6
357,11
358,14
359,12
360,9
361,14
362,3
363,6
364,3
365,3
366,2
367,4
368,13
369,13
370,10
371,7
372,9
373,11
374,13
375,1
376,7
377,3
378,4
379,11
380,14
381,13
382,9
383,1
384,8
385,1
386,12
387,5
388,13
389,6
390,12
391,9
392,11
393,12
394,6
395,9
396,5
397,12
398,7
399,10
400,9
401,0
402,4
403,9
404,14
405,2
406,8
407,4
408,1
409,6
410,10
411,15
412,4
413,14
414,4
415,0
416,1
417,12
418,13
419,9
420,3
421,0
422,0
423,9
424,11
