	0	1	2	3	4	5	6	7
0	32571.0	542.83333	206.111	-185.805	819.716	200.735	327.503	792.847
1	32537.7283866	542.278802646	210.547485084	-190.884392357	823.791691739	202.047657631	330.492095755	793.687188568
2	32556.0328364	542.583878905	210.790777137	-189.707239295	824.70311118	203.240167277	329.673640841	794.946785877
3	32584.2528961	543.054216579	210.253258651	-187.309574364	825.104529667	204.432808847	328.11161522	796.3308024
4	32589.1827325	543.136382712	211.674749689	-187.769768981	827.139498985	205.750373787	328.327945139	797.647818896
5	32573.3775853	542.872963126	214.841556215	-190.793735928	830.628942176	207.187394902	330.151901124	798.938157169
6	32561.3313893	542.672190522	217.728306676	-193.375164172	833.963831107	208.637660162	331.719479563	800.353384338
7	32566.7981752	542.763300623	219.209805113	-193.810324859	836.248064208	210.036697473	331.966783691	801.957389367
8	32579.801689	542.98002443	220.129840519	-193.308470514	838.151480844	211.440884147	331.649385755	803.67351127
9	32583.4450282	543.04074769	221.889419436	-193.934709991	840.799989747	212.955730728	332.072004091	805.404337024
10	32575.4224045	542.907039949	224.655712052	-195.968755304	844.352692028	214.610588391	333.435850132	807.153224581
11	32568.1895136	542.786494513	227.36389353	-197.884645311	847.98563949	216.331970235	334.813219367	809.004401076
12	32571.2237026	542.83706546	229.213703627	-198.527147881	851.06319122	218.036358063	335.499885897	811.009839716
13	32579.7147572	542.97858176	230.616316932	-198.491488352	853.893745632	219.717965029	335.877399672	813.137974162
14	32582.622268	543.027037311	232.509913261	-199.125293659	857.207121541	221.425865552	336.789209847	815.341845332
15	32577.4338009	542.940560131	235.111721386	-200.720072851	861.176613502	223.173092196	338.407873451	817.644407205
16	32572.2909852	542.854845922	237.733043856	-202.264537965	865.262792531	224.903954056	340.082655725	820.123322638
17	32574.343594	542.889058054	239.756385983	-202.883263967	868.973033496	226.562728208	341.247367126	822.816134625
18	32580.6882732	542.994805951	241.403111228	-202.941490169	872.472450676	228.171068526	342.118268548	825.67247691
19	32583.165881	543.036101694	243.341489755	-203.441536231	876.29116123	229.80994469	343.314728643	828.617455352
20	32579.4356402	542.973930806	245.763536376	-204.660208064	880.599112641	231.526516337	344.999688958	831.644999366
21	32575.457727	542.907629768	248.173147842	-205.856340759	885.017953908	233.283243039	346.693585319	834.820697397
22	32576.9849808	542.933080932	250.08995726	-206.327432861	889.153889537	235.010950249	347.938736149	838.188802087
23	32582.0764669	543.017937377	251.670169938	-206.325717195	893.095381003	236.693698236	348.876175925	841.698912403
24	32584.2759241	543.054595756	253.442133847	-206.653826175	897.240625053	238.375300819	349.993658516	845.242542851
25	32581.4334961	543.00722461	255.575972186	-207.573126839	901.74400095	240.083037296	351.445895023	848.754205255
26	32578.1981481	542.953305007	257.682882912	-208.503109981	906.333182758	241.774402384	352.874120002	852.256923512
27	32579.3990494	542.973321282	259.369704594	-208.845586306	910.695661477	243.383062296	353.923711088	855.806064938
28	32583.6687645	543.044482	260.763733998	-208.773180718	914.87483527	244.908090813	354.723062404	859.408533911
29	32585.6741764	543.0779026	262.312808093	-208.951981556	919.157358715	246.427754159	355.688109072	863.014204949
30	32583.4293238	543.040485628	264.165360594	-209.636721749	923.650750132	248.010219243	356.952258933	866.578612473
31	32580.7089512	542.995145354	265.973074499	-210.368761717	928.143062089	249.625885412	358.202628863	870.110913242
32	32581.6875447	543.01145708	267.355680438	-210.631163321	932.410849316	251.171386011	359.120347771	873.651120545
33	32585.3763785	543.072940823	268.384316916	-210.533059182	936.524858502	252.583057212	359.808164112	877.21540347
34	32587.2388119	543.103983759	269.45377398	-210.619552235	940.733603034	253.909245668	360.635907699	880.782281443
35	32585.4239814	543.073736578	270.752831949	-211.117356303	945.102874434	255.25871186	361.736317479	884.329935564
36	32583.0820696	543.034702369	272.053350544	-211.65305672	949.416415444	256.687304135	362.837748301	887.866621325
37	32583.8994281	543.048321913	273.070032442	-211.789339416	953.468577602	258.152264342	363.640421046	891.412039381
38	32587.1554539	543.102587182	273.871747714	-211.615963992	957.339576191	259.577616535	364.211443431	894.959398308
39	32588.9081297	543.131799039	274.789285639	-211.602838682	961.276715126	260.944871361	364.874267194	898.475088551
40	32587.4179035	543.106964535	275.968464442	-211.951375018	965.348923284	262.30410686	365.765070166	901.939959181
41	32585.3661759	543.072772013	277.184659985	-212.33919327	969.346833057	263.703423212	366.662391114	905.377324998
42	32586.0611541	543.084356371	278.155175747	-212.381122392	973.060811022	265.128020721	367.302362971	908.828559885
43	32588.9818551	543.133033642	278.908864705	-212.15190691	976.558446329	266.517015022	367.73352559	912.306181491
44	32590.6475591	543.160792491	279.717267462	-212.062027954	980.091183199	267.828076019	368.233098112	915.784107778
45	32589.4113334	543.140185912	280.703143059	-212.27977044	983.762404938	269.070773731	368.916285712	919.235925314
46	32587.5894354	543.109820075	281.671048702	-212.499175153	987.401812794	270.278769537	369.578308684	922.669725755
47	32588.1882626	543.119802218	282.382357192	-212.36031723	990.80349772	271.46555136	369.975871116	926.114114849
48	32590.8412082	543.164021112	282.886680942	-211.938312212	993.999395661	272.616972579	370.155415009	929.574949047
49	32592.4362319	543.190607319	283.455835538	-211.640837374	997.206649365	273.718785642	370.384447395	933.020076561
50	32591.404418	543.173410596	284.216261548	-211.666830706	1000.53294574	274.776691969	370.789631237	936.411565818
51	32589.7692719	543.146155946	284.981767884	-211.761812707	1003.8389	275.806228739	371.196180132	939.743040188
52	32590.2904793	543.154839621	285.508019845	-211.584849412	1006.93017807	276.812972749	371.377354122	943.034893811
53	32592.7244213	543.19540335	285.819024014	-211.174916947	1009.808686	277.790776051	371.365487634	946.2965698
54	32594.2608088	543.221010232	286.168027325	-210.890180195	1012.6491607	278.735079512	371.403827998	949.507229675
55	32593.397251	543.206620129	286.694713333	-210.919805132	1015.5495658	279.648143981	371.613659177	952.639796891
56	32591.917041	543.181952953	287.243037483	-211.034661303	1018.40082321	280.529570485	371.831957668	955.69533241
57	32592.3742011	543.189573815	287.576167729	-210.900387144	1021.04212573	281.369900455	371.833491436	958.701702976
58	32594.6254633	543.22709391	287.690902607	-210.515600519	1023.47600566	282.160152566	371.629796271	961.677987987
59	32596.1123657	543.25187279	287.81384739	-210.189859283	1025.84916694	282.904488231	371.443221285	964.61042275
60	32595.3898951	543.239828738	288.0990001	-210.113001804	1028.23799384	283.616340253	371.40083418	967.469630486
61	32594.0404595	543.217337129	288.438843506	-210.107987793	1030.54364397	284.301670329	371.366133655	970.245340043
62	32594.4438077	543.224061144	288.630509497	-209.886809475	1032.6404984	284.952841833	371.129137389	972.95390953
63	32596.5401758	543.259003702	288.656655725	-209.442720256	1034.56629262	285.562993797	370.689435878	975.610912682
64	32597.9847073	543.2830818	288.701526364	-209.047273748	1036.48502316	286.141647198	370.251193631	978.205847648
65	32597.3823938	543.273043591	288.894931271	-208.874923461	1038.46947797	286.708925456	369.946071498	980.711434832
66	32596.144954	543.252417509	289.140286687	-208.77665334	1040.40166394	287.274318777	369.662009142	983.114716977
67	32596.5023984	543.258371797	289.252780097	-208.499904149	1042.13126927	287.827269913	369.200919399	985.430733089
68	32598.4655993	543.291089705	289.207280674	-208.037259902	1043.68094062	288.350891638	368.542437101	987.683467889
69	32599.8733982	543.314553281	289.158102891	-207.626092934	1045.22103658	288.838639954	367.859984576	989.879260966
70	32599.3747782	543.306245384	289.215979862	-207.41424641	1046.84523244	289.291019645	367.281209689	992.003780241
71	32598.2344524	543.287242987	289.296341332	-207.260615605	1048.44501141	289.699869563	366.72518579	994.041992516
72	32598.5522283	543.292540917	289.243090389	-206.939370456	1049.84864636	290.048213893	366.028650118	995.994643403
73	32600.3995697	543.323329145	289.049177678	-206.456003245	1051.03948297	290.332826152	365.17457449	997.874606661
74	32601.7751793	543.346253211	288.868539112	-206.037234607	1052.16787286	290.581116226	364.307677596	999.693362766
75	32601.367071	543.339448475	288.807366114	-205.813885773	1053.34829045	290.834441427	363.525682233	1001.45546997
76	32600.3118675	543.321860588	288.784792657	-205.637670275	1054.51293573	291.11102334	362.742626639	1003.16235435
77	32600.5949772	543.326580482	288.652548108	-205.283580979	1055.50811221	291.391130005	361.812166689	1004.81360697
78	32602.3404684	543.355675042	288.406454058	-204.758717951	1056.29526469	291.643659939	360.735073366	1006.40194409
79	32603.6876025	543.378129939	288.200112408	-204.295871729	1056.99015513	291.863405605	359.661183059	1007.9118415
80	32603.3592895	543.372658573	288.143438789	-204.043501858	1057.7004332	292.075151419	358.683620659	1009.32902328
81	32602.3794049	543.35632521	288.158656756	-203.874092669	1058.38816346	292.301977718	357.710760206	1010.65225275
82	32602.6319222	543.360530717	288.083400697	-203.564178666	1058.93676245	292.538519808	356.593759145	1011.89370697
83	32604.28706	543.388114119	287.87733077	-203.092108829	1059.3197139	292.760621	355.335827108	1013.06771965
84	32605.6087926	543.410143092	287.659062154	-202.648221071	1059.63778967	292.954606507	354.09710078	1014.18110028
85	32605.3514468	543.405856335	287.537849081	-202.353822417	1059.97944142	293.126086446	352.987691644	1015.23367919
86	32604.4387658	543.390648046	287.474911578	-202.083352449	1060.3002416	293.279232287	351.928585617	1016.22350731
87	32604.6640513	543.394404602	287.351017761	-201.637594117	1060.48603499	293.399491315	350.765958983	1017.148099
88	32606.2383858	543.420642866	287.128644692	-201.032579085	1060.51228388	293.468031204	349.4812287	1018.00334472
89	32607.5372894	543.442288575	286.88155466	-200.509291613	1060.4842886	293.490647894	348.213759941	1018.7867486
90	32607.3435531	543.439056656	286.667244101	-200.244753772	1060.50632055	293.499761563	347.07052423	1019.50241275
91	32606.4912832	543.424850851	286.44026268	-200.14226311	1060.55476079	293.520875721	345.983097685	1020.15762565
92	32606.6921415	543.428199738	286.135158333	-199.966682198	1060.51786135	293.543651736	344.80228778	1020.7512854
93	32608.1936899	543.453228531	285.794844957	-199.633589184	1060.33992216	293.537199091	343.497629068	1021.27048661
94	32609.4719386	543.474535419	285.548542061	-199.276100689	1060.0771783	293.495780917	342.193296244	1021.70650949
95	32609.3356165	543.472264066	285.456485394	-199.030209647	1059.80266939	293.460721869	340.999646819	1022.07511335
96	32608.5380166	543.458968918	285.433761006	-198.850482895	1059.50042853	293.489121078	339.873230075	1022.41311357
