	RHX	RHY	RHZ	LHX	LHY	LHZ
0	188.524384298	-136.698721846	801.781984312	185.280990915	305.708163558	842.789002583
1	193.517371227	-134.812391405	800.290864946	184.857171723	300.476452404	844.966271127
2	200.199481595	-134.809314641	799.582428087	184.50529703	302.623434109	850.018646484
3	206.94303325	-135.500887224	800.494863883	188.102779083	309.384778378	851.483464106
4	213.538605861	-136.319611149	802.111016557	193.859304383	314.265381986	854.153119877
5	219.946030607	-137.142738654	804.222831077	200.069617973	318.021307162	857.287035566
6	226.165307488	-137.970269738	806.830307441	206.836432502	320.156741274	860.853927495
7	232.19729559	-138.801669348	809.929890536	213.635438044	321.694252608	864.672775604
8	238.094259156	-139.604386399	813.305297832	220.348145817	322.867482042	868.704425362
9	243.887020301	-140.359224339	816.828979697	226.960871777	323.72098314	872.961537957
10	249.575579026	-141.066183168	820.500936131	233.469687581	324.267546095	877.447748093
11	255.15993533	-141.725262885	824.321167133	239.865406623	324.549430544	882.157447433
12	260.640089212	-142.336463491	828.289672704	246.097036107	324.801210254	887.059505365
13	266.016040674	-142.899784986	832.406452844	252.156729827	325.05897884	892.149131855
14	271.287789716	-143.41522737	836.671507553	258.044487783	325.322736301	897.426326902
15	276.455336336	-143.882790643	841.08483683	263.760309975	325.592482638	902.891090506
16	281.517462801	-144.308714171	845.640441464	269.304196402	325.868217851	908.543422668
17	286.469094484	-144.718999097	850.313321107	274.676147065	326.14994194	914.383323387
18	291.309672969	-145.116506592	855.100724715	279.876161964	326.437654905	920.410792664
19	296.039198258	-145.501236657	860.002652286	284.904711848	326.734481622	926.615779024
20	300.657670349	-145.873189291	865.019103821	289.765668513	327.066123385	932.915611733
21	305.165089245	-146.232364495	870.150079321	294.459890325	327.4382781	939.291962913
22	309.561871068	-146.576114325	875.385931042	298.987377283	327.850945767	945.744832564
23	313.849383584	-146.89573526	880.694947829	303.348129388	328.304126386	952.274220687
24	318.027733911	-147.190545658	886.07464613	307.54155972	328.793618847	958.884925622
25	322.09692205	-147.460545519	891.525025946	311.561291214	329.273776821	965.629082769
26	326.056948001	-147.705734843	897.046087275	315.40558022	329.732119461	972.520947252
27	329.907811763	-147.92611363	902.637830119	319.07442674	330.168646768	979.560519071
28	333.649513338	-148.12168188	908.300254477	322.567830773	330.58335874	986.747798226
29	337.282052724	-148.292439594	914.033360349	325.885792318	330.976255379	994.082784717
30	340.805429922	-148.43838677	919.837147735	329.041311345	331.391567723	1001.48571325
31	344.219644931	-148.559523409	925.711616635	332.048527658	331.877404982	1008.86982472
32	347.524697753	-148.655849512	931.65676705	334.907447434	332.433788179	1016.23508122
33	350.720588386	-148.727365077	937.672598978	337.618070673	333.060717314	1023.58148274
34	353.807316832	-148.774070106	943.759112421	340.180397377	333.758192386	1030.9090293
35	356.784883088	-148.795964597	949.916307378	342.581680245	334.507736947	1038.24259753
36	359.653381405	-148.793572968	956.143547119	344.754139139	335.211107741	1045.71446195
37	362.416683747	-148.788439681	962.414673014	346.687813545	335.853867599	1053.34406073
