	0	1	2	3	4	5	6	7
0	25269.0	421.13333	208.582	-150.87	804.055	216.67	312.599	850.492
1	25226.3682192	420.422800465	216.963880232	-149.515105073	805.594170556	223.182176418	304.959460861	853.335194514
2	25282.9833119	421.366389703	206.290900737	-151.331792323	803.566074781	215.5667301	314.971223303	849.859717444
3	25289.5514828	421.47586204	205.194893466	-151.555906689	803.328519938	214.942166612	316.0156488	849.43514121
4	25256.8805736	420.931344507	211.716332892	-150.508818603	804.528510126	219.991112611	309.987601554	851.510398378
5	25264.2487122	421.054142593	210.46938401	-150.768502762	804.270773327	219.259613337	311.164620612	851.070046958
6	25285.5391849	421.408982942	206.49602542	-151.485934414	803.494975747	216.458258777	314.858520657	849.748072639
7	25273.7931159	421.213218435	208.980340069	-151.111868701	803.953211751	218.517851331	312.641382105	850.58772202
8	25263.0040145	421.033403602	211.291672767	-150.758112337	804.395775822	220.519267292	310.655777673	851.393049604
9	25277.5069327	421.275118372	208.64662837	-151.236112667	803.89288239	218.759144237	313.208975244	850.514322018
10	25282.0017562	421.350027935	207.978470308	-151.392939178	803.757116413	218.393372932	313.90393986	850.272196404
11	25269.5648974	421.142744356	210.650529832	-151.00016263	804.255148003	220.603282179	311.603011529	851.222605247
12	25271.8623936	421.181038415	210.401131609	-151.093796191	804.186819093	220.713490114	312.037977385	851.238774427
13	25282.8295449	421.363828646	208.435915883	-151.462408784	803.792236907	219.422039486	313.969699216	850.568636768
14	25277.8255284	421.280428981	209.658874067	-151.294404204	804.030148401	220.376625702	312.93511774	850.868460286
15	25271.5412529	421.175687251	211.142458143	-151.090099032	804.323242529	221.580514008	311.727864077	851.314852571
16	25279.7262044	421.31209979	209.734541783	-151.371812072	804.043668074	220.693455489	313.190520254	850.856180589
17	25283.3240025	421.37206428	209.257286069	-151.493879372	803.944657528	220.435591964	313.774003918	850.664480431
18	25275.8868479	421.24811586	211.014500538	-151.23545176	804.288665964	221.82127562	312.359574273	851.196043461
19	25276.9549571	421.265919733	211.055849266	-151.250746596	804.287768537	222.000405414	312.551411515	851.196211555
20	25284.5457201	421.392429801	209.759133401	-151.479786333	804.011408556	221.148194194	313.888212476	850.732069622
21	25281.8205727	421.347006519	210.552227639	-151.357978153	804.148251489	221.725077491	313.260885656	850.893283176
22	25277.3260022	421.272096646	211.73475187	-151.156748868	804.36504441	222.596843782	312.344538064	851.19001628
23	25282.9655499	421.36609309	210.868190649	-151.275287608	804.174711588	222.035780353	313.352366906	850.863870754
24	25286.1184136	421.418644034	210.492820496	-151.318933124	804.088162018	221.805138438	313.876784125	850.691363345
25	25280.957775	421.332631751	211.813370893	-151.099651578	804.343735803	222.736394411	312.816029986	851.030585586
26	25281.4784715	421.34130571	211.984826179	-151.05282104	804.362994462	222.821040119	312.80203243	850.992071911
27	25287.3798267	421.439660058	211.065361956	-151.15242189	804.169188952	222.126367549	313.808743109	850.620565508
28	25285.8051119	421.413417853	211.724169795	-150.986255158	804.3182158	222.539922531	313.446945364	850.762142316
29	25282.2807597	421.354682528	212.874160517	-150.736888434	804.587975003	223.252509966	312.715936393	851.061033277
30	25286.535483	421.425594506	212.524094341	-150.71444551	804.579060529	222.836149413	313.402229161	850.892277028
31	25289.4200153	421.473666027	212.568797545	-150.637635067	804.707420544	222.626919801	313.810760489	850.846884512
32	25285.572627	421.40953994	214.143381883	-150.348314271	805.22470954	223.394660523	312.946811687	851.257770123
33	25285.7845041	421.413073144	215.029300822	-150.162400208	805.682023525	223.585788654	312.811391206	851.449573466
34	25290.6616581	421.494363423	215.159055706	-150.046016046	806.094565024	223.256004954	313.539175667	851.471678524
35	25289.784799	421.479750347	216.876070833	-149.638495368	806.977978612	224.082019261	313.188728768	852.119592182
36	25286.8765355	421.431275867	219.617508232	-149.048029753	808.230636089	225.552352495	312.354140268	853.332319676
37	25290.2537868	421.487559676	221.772897678	-148.537589327	809.613425955	226.551079685	312.487507722	854.826679583
38	25292.9554552	421.532588085	224.870689307	-147.886782497	811.704167178	228.367103746	312.284764614	857.217143014
39	25289.970524	421.482843349	230.056121655	-146.849235339	815.069195037	231.766507006	310.750563184	860.80936825
40	25289.9848618	421.483084846	235.604363195	-145.495748479	819.617300269	235.051784395	309.341735616	865.087841439
41	25294.1674626	421.552792631	241.319217631	-143.730254195	825.548309428	237.689301025	308.253951304	870.253759198
42	25293.7615488	421.546023136	248.985757654	-141.315392731	833.501262713	241.031138103	305.984360167	877.12825605
43	25291.2847561	421.504742341	257.877209091	-138.334310171	843.564740127	244.766964368	302.945665282	885.601382857
44	25294.0516226	421.550860431	266.233689343	-134.906761912	855.568152108	247.538257047	300.274398832	895.23896528
45	25296.6177204	421.593632304	275.03551684	-130.926217873	869.898687077	249.881392159	296.976400191	906.502114501
46	25294.248124	421.554137999	284.932435492	-126.578837545	886.787269619	252.490518677	292.430523865	919.738483437
47	25294.1261453	421.552100742	293.796037354	-122.348665829	905.736929595	254.290268246	288.09111692	934.479515415
48	25297.8013705	421.613352361	300.87509443	-118.30837565	926.452681346	254.907964191	284.286503173	950.593135285
49	25297.7361903	421.612268652	307.764009923	-114.286930606	948.978981543	255.388168254	279.894237155	968.288864736
50	25295.5827009	421.576381263	314.099300033	-110.56773387	972.623414927	255.538476616	275.557393934	986.991418131
51	25297.8972424	421.61495743	318.285170523	-107.530286615	996.275595521	254.523547892	272.593959454	1006.01414138
52	25300.3563579	421.655938902	321.298147597	-105.032734299	1019.61170831	253.252163172	270.245816608	1025.5059215
53	25298.4519328	421.624195156	324.433667702	-102.838590506	1042.66087253	252.633268136	267.750554769	1045.32385961
54	25298.231219	421.620517962	326.437340762	-100.983651862	1064.98288776	251.785717032	266.041064816	1064.52194111
55	25301.5154835	421.675260064	326.730388004	-99.2753044239	1086.34682972	250.473689651	265.11063244	1082.78771577
56	25301.7091427	421.678489528	326.958550967	-97.2724313506	1106.99999257	249.955539353	263.676660456	1100.45225504
57	25299.8103092	421.646839296	327.297978714	-95.1392190994	1126.61293002	250.402835091	262.031841465	1116.93213316
58	25301.7739805	421.679563162	326.113249568	-93.8750431207	1144.34846454	251.390314644	261.361646257	1131.0910413
59	25304.1444839	421.719071564	323.516644328	-94.4379224874	1159.90488506	254.378647865	261.52943522	1142.65982328
60	25302.6070855	421.693452216	321.35690333	-96.8132498719	1172.91572901	260.780307156	262.505744553	1151.87959481
61	25302.3126085	421.688547242	321.436725256	-99.8860119307	1182.19150393	269.469496884	265.037426692	1158.91347072
62	25305.2832184	421.738055677	325.915448856	-102.399334618	1187.52548019	279.508980913	268.357259026	1164.39564134
63	25305.680643	421.744675104	335.855972662	-104.341089525	1191.03518371	292.283534784	271.189660271	1169.03695392
64	25303.9902902	421.716501089	348.91439417	-107.030405503	1194.63759488	308.430623316	274.658359211	1172.74683695
65	25305.6722506	421.744537036	362.740087754	-111.517517222	1197.55124699	326.184661041	279.84248683	1175.68657696
66	25307.9664691	421.782777885	378.749599816	-117.411186811	1198.27538831	344.131876138	284.74915139	1179.12036223
67	25306.7283512	421.762142154	397.924981765	-123.551359927	1197.63758628	362.048918027	287.74168216	1183.7190436
68	25306.3777454	421.756294569	416.668716413	-129.242608816	1197.98754821	378.7064956	290.028489424	1188.65424644
69	25309.0886451	421.801473596	431.112123048	-134.440252232	1200.54067973	392.006420093	291.714349803	1193.28168627
70	25309.6508368	421.810845609	440.861598673	-138.943843407	1205.157893	401.009409434	290.533609485	1197.63818039
71	25308.1365027	421.785610941	445.83375078	-141.775335958	1211.82212716	405.934502036	286.316500045	1201.20889117
72	25309.5861492	421.809772754	445.07305219	-141.804909889	1220.78545284	407.378078505	281.393071157	1203.63595262
73	25311.8126135	421.84687701	440.259629443	-138.945400536	1231.57563619	406.602656666	276.510897395	1206.06886246
74	25310.8249733	421.830412679	435.16149314	-133.959685245	1242.8929051	405.156414103	271.270924919	1209.58304085
