	RHX	RHY	RHZ	LHX	LHY	LHZ
0	320.581237645	53.7500564279	1014.27969697	252.390595784	227.006933538	912.588617412
1	323.14441842	53.7912832114	1010.49352764	252.711160128	228.84145731	911.980344546
2	321.766175312	53.8243030683	1005.74076185	253.575104544	231.200645584	911.073735377
3	320.361939617	53.5068714757	1002.69863155	252.010057242	232.263130981	909.725090539
4	323.447868682	54.5779969064	1006.38080106	249.666499402	233.38226154	909.856679169
5	325.272106062	55.5606751649	1011.04072718	247.911409135	235.403249944	909.670580041
6	326.605703598	56.4791863545	1015.85926491	247.252986631	237.855427633	908.811372273
7	327.507955407	57.3354836119	1020.81883909	247.313664067	240.057265193	908.946422668
8	328.420333063	58.1441089255	1025.78859489	247.980897682	241.838002911	910.80896686
9	329.43282622	58.9080265373	1030.74185882	248.576146302	243.149511095	913.118939154
10	330.545434878	59.6272364472	1035.67863088	249.141236871	244.569836905	915.313025933
11	331.758159036	60.3017386552	1040.59891107	249.662600327	245.955203491	917.552127541
12	333.066024435	60.9279820096	1045.50345202	250.129219148	247.285223293	919.861846554
13	334.424726174	61.4743370048	1050.39895727	250.492721064	248.656715507	922.155103075
14	335.823796817	61.9333308808	1055.28701059	250.74469928	250.086506702	924.416763166
15	337.263236363	62.3049636375	1060.16761197	250.885153794	251.574596876	926.646826827
16	338.743044812	62.589235275	1065.04076143	250.91455603	253.120832089	928.845361248
17	340.263222165	62.7861457931	1069.90645896	250.893401949	254.705457648	931.02098891
18	341.82376842	62.895695192	1074.76470455	250.863877906	256.31469778	933.179722626
19	343.425678414	62.9188049276	1079.61501379	250.825983902	257.948552487	935.321562397
20	345.088140154	62.8732477204	1084.44804308	250.779463756	259.606768511	937.4465789
21	346.818519126	62.7658457823	1089.26020582	250.71808803	261.283187534	939.556490793
22	348.616815329	62.5965991134	1094.05150201	250.639189768	262.975173043	941.652033868
23	350.481377766	62.3642504954	1098.82148358	250.542768967	264.682725039	943.733208127
24	352.383216425	62.0467243031	1103.56228275	250.428825628	266.405843521	945.800013569
25	354.311728205	61.6359463742	1108.27102189	250.324320711	268.157129182	947.842396617
26	356.266913106	61.1319167086	1112.947701	250.270157065	269.955698709	949.845104847
27	358.248771129	60.5346353063	1117.59232008	250.266758323	271.801750092	951.80798029
28	360.268254416	59.8349786297	1122.20749029	250.314124482	273.695283333	953.731022945
29	362.338442183	59.0220512113	1126.79632992	250.38724348	275.579154824	955.662519041
30	364.459359643	58.0958320494	1131.35884498	250.449244292	277.369127481	957.673648733
31	366.631006794	57.056321144	1135.89503548	250.505946429	279.073262223	959.75731165
32	368.863342689	55.9185245027	1140.39291125	250.60777503	280.763853658	961.850050721
33	371.19564786	54.7416288756	1144.80518071	250.765878523	282.456885309	963.937836305
34	373.631940395	53.5316885996	1149.1270063	250.980256909	284.152357176	966.020668401
35	376.172220294	52.2887036746	1153.35838802	251.250910187	285.850269257	968.09854701
36	378.815874744	51.0118084233	1157.49969264	251.572612993	287.5508245	970.171140045
37	381.519828023	49.6401527254	1161.57670146	251.902776743	289.255676974	972.235740875
38	384.257700028	48.1364712162	1165.60520324	252.232029761	290.965190663	974.291753905
39	387.029490757	46.5007638956	1169.585198	252.560372049	292.679365566	976.339179134
40	389.83520021	44.7330307637	1173.51668573	252.887803605	294.398201682	978.378016561
41	392.676120227	42.8320686538	1177.37796454	253.23943056	296.118958795	980.404420623
42	395.556122611	40.7942715199	1181.10399103	253.787506344	297.822836248	982.392006858
43	398.475467687	38.6193969065	1184.69039195	254.564671747	299.506271452	984.3357756
44	401.434155455	36.3074448136	1188.13716732	255.570926768	301.169264406	986.235726848
45	404.432185915	33.8584152411	1191.44431713	256.805912414	302.811882129	988.091875282
46	407.469559066	31.2723081892	1194.61184137	257.816341829	304.518745359	989.92275631
47	410.54627491	28.5491236577	1197.63974005	258.197501581	306.365407026	991.744919117
48	413.662333445	25.6888616466	1200.52801317	258.798801415	308.163191952	993.465009323
49	416.816520865	22.6906563972	1203.27185681	261.043056554	309.596057242	994.926652414
50	419.982159813	19.535480057	1205.7656894	263.467166317	310.952906692	996.267811134
51	423.148341868	16.2155520999	1207.96633842	264.438432342	312.55971199	997.6476068
52	426.315067028	12.7308725259	1209.87380387	265.864159838	314.179270738	999.111143682
53	429.482335295	9.08144133511	1211.48808576	268.373554664	315.652580828	1000.57950092
54	432.650146668	5.26725852745	1212.80918407	270.016980189	316.834510053	1001.56133949
55	435.818501147	1.28832410293	1213.83709882	272.373353201	317.4493776	1002.200892
56	438.987398733	-2.85536193844	1214.57183	275.402598902	317.750861612	1002.94062554
57	442.059009486	-7.0407740396	1214.85695667	277.457478454	318.099279908	1003.90070808
58	444.933653109	-11.1425597341	1214.53309936	280.395287747	317.169443247	1003.78062194
59	447.61132742	-15.1607162777	1213.60025457	282.472585919	315.733213829	1003.66167001
60	450.191278994	-19.17246291	1212.20353656	283.917056122	313.600669904	1003.0435245
61	452.842501265	-23.3092857229	1210.59004055	284.847606361	311.098248574	1002.27338327
62	455.567814927	-27.5733793715	1208.76389084	285.367478404	308.520933795	1001.66846695
63	458.153699013	-31.7894926496	1206.63071171	285.585170566	305.897892455	1001.14611613
64	460.212234257	-35.6392337874	1204.01904381	285.723601046	303.289050185	1000.53650061
65	461.735325246	-39.1159583274	1200.92530899	285.78945578	300.696204321	999.834526724
66	462.962094162	-42.3802039612	1197.49163751	285.782734767	298.119354863	999.040194469
67	464.473285883	-45.8218610843	1194.06321452	285.705740965	295.558778789	998.164062023
68	466.29493246	-49.4584066427	1190.65551303	285.573276259	293.016256323	997.273990333
69	468.245305549	-53.1567553488	1187.19355077	285.387979262	290.492104814	996.382076422
70	469.589910191	-56.3790138325	1183.37427048	285.182496099	287.987014097	995.475256163
71	470.251107665	-59.0683248558	1179.16563794	285.168153177	285.505449662	994.468962255
72	470.299826651	-61.2830198534	1174.60633426	285.382878458	283.048212954	993.34801692
73	470.579483458	-63.7167206845	1170.15631845	285.830585937	280.61967918	992.116928246
74	471.335170688	-66.5709904235	1165.94925232	286.631926471	278.354716218	990.914660329
75	472.566185018	-69.8452938667	1161.98481376	287.843894173	276.317034145	989.806858251
76	473.596062383	-73.0248639969	1157.95318579	289.545570016	274.588484656	988.801357272
77	473.830800143	-75.657684244	1153.5823183	292.139283944	273.619052255	987.964540678
78	473.270398296	-77.7437546077	1148.87221131	294.863319621	273.261988069	987.728033414
79	472.020092937	-79.3689834348	1143.91633947	297.399915461	273.433627575	988.254155522
80	470.54927205	-80.9165505321	1139.1316308	299.742125329	274.083064233	989.467620392
81	468.914225249	-82.4324073171	1134.56808384	301.848929567	274.909675015	990.923831143
82	467.114952534	-83.9165537896	1130.22569861	303.713599936	275.864150299	992.549862877
83	465.33906996	-85.4785210107	1126.1309618	305.336136436	276.946490087	994.345715594
84	465.253008838	-88.0911787548	1122.51913193	306.716539068	278.156694377	996.311389296
85	467.249627103	-91.9838791762	1119.44567074	307.919536431	279.457906246	998.394713852
86	471.32739431	-97.1557531295	1116.91009008	309.082855211	280.771703142	1000.48468395
87	474.703880275	-102.026647231	1114.02493448	310.211022293	282.095507423	1002.57765099
88	474.847181226	-105.158683064	1109.98265378	311.304037679	283.429319089	1004.67361497
89	471.757297163	-106.551860626	1104.78324798	312.361901369	284.773138141	1006.7725759
90	467.216948547	-107.249361604	1099.13242923	313.384613361	286.126964578	1008.87453378
91	465.818147925	-109.938260888	1094.84800303	314.372173657	287.4907984	1010.9794886
92	467.793636929	-114.754750218	1092.02210305	315.324582255	288.864639607	1013.08744037
93	471.582178053	-120.828904508	1090.11536792	316.241839157	290.2484882	1015.19838908
94	472.383793698	-125.486165316	1087.46954735	317.123944362	291.642344179	1017.31233474
95	469.861422046	-128.538721033	1083.96819645	317.970897871	293.046207542	1019.42927734
96	466.585565087	-131.367927034	1080.57716481	318.782699682	294.460078291	1021.54921689
97	466.797972247	-136.253246011	1078.89026251	319.559781104	295.883854929	1023.67231806
98	470.131082506	-143.005923466	1078.80557811	320.324840606	297.31219598	1025.80724699
99	470.936642418	-148.705710842	1078.67578014	321.090728426	298.742077484	1027.95890985
100	467.58170339	-152.501481216	1078.02642256	321.857444566	300.173499442	1030.12730663
101	465.24569154	-156.762212709	1078.44950436	322.624989025	301.606461854	1032.31243733
102	466.400590433	-162.595411211	1080.69230443	323.390680577	303.040820707	1034.51425246
103	466.422217291	-167.555386819	1083.15434358	324.06911396	304.471988758	1036.73117568
104	464.042968125	-170.980429772	1085.37275631	324.61943139	305.897771475	1038.96245285
105	462.461379162	-174.678506383	1088.13255326	325.041632868	307.318168857	1041.20808398
106	462.554739674	-179.149300678	1091.63686401	325.335718394	308.733180906	1043.46806907
107	462.199622176	-183.258151956	1095.15412326	325.501687968	310.142807621	1045.74240812
108	460.630736183	-186.596075418	1098.42028319	325.648138684	311.544920259	1048.02482227
109	459.058823595	-189.797114883	1101.75031784	325.903136377	312.937008447	1050.30790704
110	458.426275712	-193.354783776	1105.38938994	326.266894434	314.319068002	1052.59165008
111	458.473578532	-197.174237343	1109.23511631	326.739412854	315.691098924	1054.87605139
112	458.244693697	-200.906071612	1112.91032175	327.320529906	317.053128705	1057.16110308
113	457.650707301	-204.517791158	1116.37992805	327.88935313	318.425706634	1059.44090599
114	456.978984316	-208.072747401	1119.78487622	328.341580494	319.826561962	1061.7103705
115	456.598669026	-211.652320523	1123.30621675	328.677211998	321.255694689	1063.96949661
116	456.511130988	-215.256818507	1126.94462166	328.896247642	322.713104815	1066.21828432
117	456.559910374	-218.878463725	1130.62476841	328.998687425	324.19879234	1068.45673362
118	456.597723682	-222.509934705	1134.2757521	329.026865752	325.699650396	1070.69067604
119	456.624570913	-226.151231448	1137.89757272	329.058914553	327.191489089	1072.93087412
120	456.640452067	-229.802353954	1141.49023027	329.096548776	328.673777463	1075.17756409
121	456.645367144	-233.463302222	1145.05372475	329.139768422	330.146515518	1077.43074596
122	456.639316143	-237.134076252	1148.58805617	329.18857349	331.609703256	1079.69041972
123	456.621519362	-240.819407661	1152.09206411	329.242963982	333.063340675	1081.95658538
124	456.587844022	-244.544376146	1155.55959786	329.302939896	334.507427776	1084.22924294
125	456.537684879	-248.312654623	1158.98975667	329.368501233	335.941964559	1086.50839239
126	456.471041931	-252.124243092	1162.38254052	329.439647993	337.366951023	1088.79403374
127	456.38791518	-255.979141553	1165.73794942	329.516380176	338.782387169	1091.08616699
128	456.288304626	-259.877350006	1169.05598337	329.598890067	340.18847237	1093.38460778
129	456.172210268	-263.818868451	1172.33664237	329.690068975	341.588204504	1095.68658411
130	455.996458273	-267.803183648	1175.55419949	329.790887705	342.982590159	1097.99116525
131	455.709286458	-271.829680258	1178.67781006	329.901346256	344.371629334	1100.29835118
132	455.310590623	-275.898357044	1181.70741199	330.021444628	345.755322029	1102.60814192
133	454.892995886	-280.045439916	1184.62039879	330.151182821	347.133668245	1104.92053746
134	454.628458794	-284.338181503	1187.37480193	330.290560835	348.506667981	1107.23553779
135	454.520824288	-288.77808557	1189.96968302	330.439578671	349.874321237	1109.55314293
136	454.355665211	-293.315047276	1192.39826876	330.598236328	351.236628014	1111.87335287
137	453.710642637	-297.850379379	1194.64721838	330.607852489	352.605755942	1114.15993702
138	452.57531502	-302.3816479	1196.71603003	330.175228005	354.004187433	1116.3459513
139	451.416478199	-307.021239233	1198.52261123	329.293903768	355.432417772	1118.42992093
140	450.627830833	-311.863940795	1199.99772459	327.963879776	356.890446956	1120.41184592
141	450.129090479	-316.880360878	1201.14675501	326.233876142	358.36963309	1122.30163407
142	449.356018305	-321.863929502	1202.00754843	325.739971323	359.579771138	1124.43200077
143	448.199329322	-326.774637017	1202.58743506	327.280601415	360.379235755	1126.96531721
144	446.792876206	-331.650232019	1202.71173944	330.073083297	360.894841605	1129.77001652
145	445.322370044	-336.543088007	1202.13811175	330.777937912	361.667669621	1132.28474155
146	443.733724581	-341.37641686	1200.90531409	329.439402116	362.676069189	1134.52678127
147	441.760110199	-345.777971709	1199.20797846	329.584690555	363.227783161	1137.17120265
