,key,handstrat,participant,melody,sex,age,score,genre,proc,qommax,qommin,qomav,handdistmax,handdistmin,handdistav,zmax,zmin,distlh,distrh,melcat
0,0,3,10,27,F,24,438,sc,syn,2571.19052506,11.8321595662,1849.18424387,697.11563327,287.669551724,472.041396226,1828.51082005,836.801392097,5165.06989804,5601.01625709,11
1,1,5,1,25,M,23,465,sc,syn,2911.66093043,11.8321595662,2574.22702106,1408.76788471,215.194701397,795.790869991,2028.03552287,947.262964844,6656.6400025,6718.58507298,9
2,2,4,1,10,M,23,465,sc,norm,2544.30026102,11.8321595662,2357.30038038,1002.49383519,180.926554919,576.368933498,1708.50776225,1117.94850224,6115.03065244,4756.87638195,10
3,3,1,6,8,M,37,973,jo,norm,1982.5857514,11.8321595662,1681.2605677,1012.26680799,490.531932028,763.900775284,1587.29823953,837.096934786,309.069240133,2800.27587862,8
4,4,3,2,7,F,53,989,jo,norm,2447.35845613,11.8321595662,2146.20352354,701.590144134,578.200235679,656.726549531,1665.28228117,725.052841224,3506.47493883,3762.02395971,7
5,5,3,2,16,F,53,989,vo,norm,2799.26857113,11.8321595662,2535.01104709,678.580371974,509.343031036,592.419166393,1922.44075839,804.209826601,3942.52451016,4533.33297571,16
6,6,6,10,8,F,24,438,jo,norm,1805.49331711,11.8321595662,1497.35341846,719.527160245,409.77569675,556.730474316,1295.37917303,793.557272743,1943.06165826,2648.25480198,8
7,7,3,10,28,F,24,438,sc,syn,1912.13680636,11.8321595662,1601.27174385,985.196950505,240.691784736,474.907652187,1394.47595674,759.469719987,5070.959524,4193.11361005,12
8,8,1,28,32,F,41,662,vo,syn,2012.64505174,11.8321595662,1687.88620483,919.284279663,376.640494206,582.918575067,1640.65375074,760.346469391,3200.79689817,4961.70746491,16
9,9,4,1,8,M,23,465,jo,norm,2422.21534406,11.8321595662,2074.95615301,646.329029665,173.859953674,260.798937112,1549.66233488,954.205310814,4899.67331438,4588.70284416,8
10,10,2,20,22,F,20,499,jo,syn,2374.19682371,11.8321595662,2223.10230387,704.470456015,201.900309724,461.995442186,1776.02013066,1164.94094073,754.548190183,4337.6041331,6
11,11,2,18,31,M,30,992,vo,syn,2177.64203259,11.8321595662,1948.71786982,979.899574382,143.456815698,640.969729666,1440.977,993.963515614,2630.08129711,3738.3459615,15
12,12,3,10,1,F,24,438,im,norm,2183.73562452,11.8321595662,1902.07784467,1135.37345143,69.2937658278,649.752293493,1370.86733804,800.244999895,3014.86656899,3055.26372894,1
13,13,2,28,14,F,41,662,vo,norm,1995.44336804,11.8321595662,1775.05931659,935.299412754,137.412841271,691.61361718,1573.9804379,746.72317784,4308.84825742,4550.04354731,14
14,14,4,9,1,F,31,913,im,norm,2519.98508074,11.8321595662,1936.2476878,689.271583307,175.959777535,315.668457162,1766.7020994,485.713127966,4961.61740713,4903.87631228,1
15,15,2,2,31,F,53,989,vo,syn,2946.23446255,11.8321595662,2275.61633616,1599.34043573,266.394700578,597.61966877,2506.7505433,757.70404185,1750.34218096,7303.84442039,15
16,16,4,9,26,F,31,913,sc,syn,2560.02368013,11.8321595662,1981.57934535,589.72098465,174.736400532,279.912382178,1802.61287055,675.087411415,5559.2304376,6853.18286977,10
17,17,3,3,24,F,29,972,jo,syn,2457.6198491,11.8321595662,2182.72868347,905.734988941,593.135252442,757.529937764,1701.41136776,693.498186076,4053.0402045,4389.65990455,8
18,18,3,2,25,F,53,989,sc,syn,2981.95782975,11.8321595662,2108.90075707,671.186954024,199.738985936,434.915966753,2199.60883499,802.289838579,3676.45676365,4548.55839317,9
19,19,3,8,16,F,20,262,vo,norm,2483.21967073,11.8321595662,1915.80904453,639.946882493,242.337780743,441.767416555,1707.77308106,810.726322981,3309.33841274,3506.81332407,16
20,20,3,2,12,F,53,989,sc,norm,2829.30710671,11.8321595662,2319.99551831,552.195125224,350.014724923,420.85307471,1954.35128468,906.239017484,3039.60968471,2500.61191786,12
21,21,2,28,13,F,41,662,vo,norm,2102.91933279,11.8321595662,1678.23915231,922.029613683,409.93300015,683.797549891,1588.42657545,756.317543138,2303.62959784,3603.57505527,13
22,22,1,18,30,M,30,992,vo,syn,2035.30938516,11.8321595662,1782.56668032,1004.11338131,112.811619233,730.486913789,1552.2717117,826.137208336,1877.02070285,4407.29203495,14
23,23,2,8,18,F,20,262,im,syn,2355.28118091,11.8321595662,1672.3969791,659.601518564,204.260920666,451.080705038,1662.93313541,801.316584869,4195.20937273,3839.82905556,2
24,24,1,6,30,M,37,973,vo,syn,2244.62764489,11.8321595662,2001.21388822,1194.53268554,509.706708499,996.342700734,1865.39451028,884.95694114,377.973886745,3560.21754158,14
25,25,1,18,32,M,30,992,vo,syn,2292.90164264,11.8321595662,1967.78327518,1139.08183585,279.539986966,735.772746705,1513.74567721,817.149291052,3481.34242972,6031.42402478,16
26,26,2,20,32,F,20,499,vo,syn,2345.61307156,11.8321595662,2021.25741323,747.947669153,182.58268734,571.429909185,1599.7184123,782.321327222,3249.88301541,3274.06348099,16
27,27,4,28,30,F,41,662,vo,syn,2267.4945105,11.8321595662,1764.09886941,998.983687806,424.099201426,698.153394056,1571.25045039,767.639227544,4788.04020734,5087.82991949,14
28,28,2,18,7,M,30,992,jo,norm,2070.50897978,11.8321595662,1753.66682198,1016.33571839,188.135216324,622.785153491,1567.93112656,809.02210652,2230.16910002,4309.49344083,7
29,29,4,9,10,F,31,913,sc,norm,2529.96328285,11.8321595662,2102.01804075,642.678634045,156.471244299,301.488596037,1738.52517659,779.50740087,4405.84428785,5249.87223827,10
30,30,3,9,5,F,31,913,jo,norm,2399.95747341,11.8321595662,2012.10926867,1017.69724414,178.007617466,430.943302202,1846.60973122,800.815695657,3616.91798897,4875.73450589,5
31,31,5,28,6,F,41,662,jo,norm,2081.72175629,11.8321595662,1688.99894622,952.300575652,394.908986192,696.96136527,1603.21857736,750.713259995,2277.68653557,3571.88515624,6
32,32,2,20,19,F,20,499,im,syn,2349.05877787,11.8321595662,2215.43385187,662.43092202,152.332484064,383.325903103,1658.75658207,690.170830098,3727.38223298,3827.45712217,3
33,33,1,20,29,F,20,499,vo,syn,1832.21713672,11.8321595662,1716.40978643,891.539328862,611.142263821,806.405617132,1491.39340077,743.290375811,557.864793149,3491.4018881,13
34,34,2,28,3,F,41,662,im,norm,2089.37838507,11.8321595662,1746.61821469,946.255785475,419.194640823,497.789824922,1518.74057738,-74.4144881993,4263.41956922,7462.14567668,3
35,35,6,10,7,F,24,438,jo,norm,1887.6728276,11.8321595662,1737.87502347,567.585654987,415.237859078,469.157092946,1231.91032928,785.566664329,2497.04354535,3413.88910726,7
36,36,4,3,4,F,29,972,im,norm,2251.2249948,11.8321595662,1911.30148772,623.841538667,103.243943239,264.956835033,1545.14800535,743.626246408,5251.77743443,5195.43310297,4
37,37,6,9,12,F,31,913,sc,norm,2251.66170491,11.8321595662,1698.77616353,656.453833489,223.773945089,354.93282134,1658.85708933,698.05175151,4178.34153711,3635.2235069,12
38,38,2,20,28,F,20,499,sc,syn,2083.58476888,11.8321595662,1937.96189026,710.566399661,190.298579838,289.097873165,1465.80593974,786.449014316,2569.42171709,2225.17318735,12
39,39,2,3,22,F,29,972,jo,syn,1976.01534383,11.8321595662,1756.82191176,600.057724854,84.7455340245,216.558518705,1418.53359622,989.21267503,1731.10873496,2225.90455187,6
