ID;sex;age;scoreMus;height;hmax
1;F;26;175;1778;2025
2;M;23;465;1800;1933
3;F;53;989;1680;1873
4;F;29;972;1771;1961
5;M;26;958;1800;2460
6;M;30;563;1859;1944
7;M;37;973;1880;1780
8;M;25;839;1830;1895
9;F;20;262;1750;1939
10;F;31;913;1653;1932
11;F;24;438;1684;1830
12;M;25;702;1868;1987
13;F;27;100;1700;1871
14;F;31;995;1689;1884
15;M;28;829;1858;1955
16;F;31;912;1658;1902
17;M;35;950;1844;1886
18;F;31;325;1660;1915
19;M;30;992;1830;1937
20;M;34;467;1768;1775
21;F;20;499;1753;2005
22;F;49;965;1600;1750
23;F;28;524;1530;1840
24;M;33;213;1550;1550
25;M;24;865;1697;1889
26;M;64;879;1700;1810
27;M;34;924;1831;2000
28;F;29;992;1610;1800
29;F;41;662;1680;1817
30;M;33;986;1700;1948
31;F;23;566;1650;1912
32;F;24;319;1650;1853
