Time_s   F0_Hz
0.024966   295.565309
0.034966   294.645470
0.044966   293.326004
0.054966   291.848448
0.064966   290.388359
0.074966   288.972389
0.084966   287.641325
0.094966   286.430109
0.104966   285.340457
0.114966   284.350977
0.124966   283.436449
0.134966   282.588022
0.144966   281.816003
0.154966   281.169830
0.164966   280.727280
0.174966   280.595654
0.184966   280.884862
0.194966   281.678270
0.204966   282.981528
0.214966   284.707377
0.224966   286.680529
0.234966   288.683837
0.244966   290.508691
0.254966   291.989912
0.264966   293.017457
0.274966   293.514907
0.284966   293.417524
0.294966   292.640645
0.304966   291.066068
0.314966   288.553257
0.324966   284.968190
0.334966   280.488688
0.344966   275.883475
0.354966   272.097570
0.364966   269.712143
0.374966   269.000166
0.384966   269.790149
0.394966   271.545266
0.404966   273.548781
0.414966   275.134663
0.424966   275.849169
0.434966   275.522985
0.444966   274.291731
0.454966   272.568722
0.464966   270.903072
0.474966   269.740493
0.484966   269.256777
0.494966   269.354113
0.504966   269.769940
0.514966   270.214156
0.524966   270.464247
0.534966   270.391636
0.544966   269.921987
0.554966   268.974702
0.564966   267.411253
0.574966   265.035794
0.584966   261.658011
0.594966   257.216466
0.604966   251.933020
0.614966   246.395515
0.624966   241.574855
0.634966   238.101050
0.644966   236.134504
0.654966   235.721235
0.664966   236.801290
0.674966   239.080268
0.684966   242.114464
0.694966   245.284205
0.704966   248.085278
0.714966   250.401669
0.724966   252.274867
0.734966   253.750279
0.744966   254.833567
0.754966   255.451932
0.764966   255.496428
0.774966   254.830317
0.784966   253.313800
0.794966   250.832208
0.804966   494.677681
0.814966   485.975300
0.824966   476.416547
0.834966   466.999269
0.844966   457.675942
0.854966   447.429022
0.864966   437.842161
0.874966   430.976229
0.884966   426.342105
0.894966   423.553390
0.904966   422.249801
0.914966   422.102694
0.924966   422.842605
0.934966   424.241314
0.944966   426.084287
0.954966   428.157177
0.964966   430.228286
0.974966   432.070275
0.984966   433.453495
0.994966   434.154139
1.004966   433.965011
1.014966   432.704306
1.024966   430.223497
1.034966   426.420333
1.044966   421.234998
1.054966   414.682304
1.064966   406.908057
1.074966   398.253858
1.084966   389.078347
1.094966   379.982752
1.104966   371.840903
1.114966   365.280946
1.124966   360.563042
1.134966   357.695501
1.144966   356.637435
1.154966   357.355924
1.164966   359.739934
1.174966   363.529656
1.184966   368.175738
1.194966   372.888810
1.204966   376.953462
1.214966   379.934617
1.224966   381.637365
1.234966   382.028949
1.244966   381.166090
1.254966   379.138322
1.264966   376.045563
1.274966   372.029187
1.284966   367.307427
1.294966   362.189043
1.304966   357.011643
1.314966   351.994927
1.324966   347.111220
1.334966   342.149837
1.344966   337.126563
1.354966   332.381936
1.364966   328.096263
1.374966   324.336400
1.384966   321.270564
1.394966   319.118603
1.404966   318.084590
1.414966   318.310116
1.424966   319.817192
1.434966   322.427972
1.444966   325.746390
1.454966   329.257159
1.464966   332.598642
1.474966   335.635492
1.484966   338.394410
1.494966   340.960230
1.504966   343.381667
1.514966   345.604255
1.524966   347.505437
1.534966   348.893911
1.544966   349.554715
1.554966   349.302113
1.564966   348.037650
1.574966   345.750492
1.584966   342.462414
1.594966   338.216717
1.604966   333.238153
1.614966   327.984009
1.624966   322.895700
1.634966   318.329295
1.644966   314.569912
1.654966   311.825960
1.664966   310.242028
1.674966   309.915838
1.684966   310.883086
1.694966   313.082468
1.704966   316.307485
1.714966   320.018850
1.724966   323.458962
1.734966   326.135385
1.744966   327.814583
1.754966   328.375062
1.764966   327.791370
1.774966   326.129486
1.784966   323.548226
1.794966   320.301650
1.804966   316.704788
1.814966   313.065228
1.824966   309.629394
1.834966   306.551920
1.844966   303.908273
1.854966   301.725777
1.864966   300.011122
1.874966   298.759251
1.884966   297.952020
1.894966   297.536155
1.904966   297.421638
1.914966   297.509170
1.924966   297.707126
1.934966   297.941304
1.944966   298.153856
1.954966   298.289577
1.964966   298.297619
1.974966   298.124999
1.984966   297.717468
1.994966   297.024070
2.004966   295.981582
2.014966   294.504993
2.024966   292.451347
2.034966   289.579877
2.044966   285.548299
2.054966   280.139121
2.064966   273.451536
2.074966   264.826580
2.084966   254.345192
2.094966   243.452848
2.104966   234.089416
2.114966   225.974433
2.124966   217.893017
2.134966   212.355515
2.144966   205.924890
2.154966   200.211636
2.164966   --undefined--
