Time_s   F0_Hz
0.024966   459.816538
0.034966   458.721225
0.044966   459.957187
0.054966   462.784721
0.064966   466.778553
0.074966   471.613231
0.084966   476.905552
0.094966   482.001954
0.104966   485.994053
0.114966   488.449025
0.124966   489.340911
0.134966   488.640125
0.144966   486.149363
0.154966   481.559762
0.164966   474.629115
0.174966   465.612846
0.184966   454.308546
0.194966   436.756563
0.204966   413.755040
0.214966   390.754375
0.224966   367.685261
0.234966   350.005759
0.244966   334.670642
0.254966   318.528319
0.264966   308.118965
0.274966   300.612075
0.284966   294.352903
0.294966   288.197353
0.304966   282.198896
0.314966   277.848921
0.324966   274.322820
0.334966   271.022329
0.344966   268.372285
0.354966   266.726241
0.364966   266.213794
0.374966   266.716403
0.384966   267.937900
0.394966   269.612532
0.404966   271.720718
0.414966   274.596219
0.424966   278.820787
0.434966   285.012776
0.444966   293.590867
0.454966   303.029833
0.464966   313.583098
0.474966   336.187008
0.484966   354.394559
0.494966   369.317783
0.504966   385.138977
0.514966   395.027382
0.524966   401.459716
0.534966   405.485340
0.544966   407.910687
0.554966   409.528218
0.564966   411.073226
0.574966   413.172533
0.584966   416.344017
0.594966   420.952538
0.604966   427.144011
0.614966   434.832203
0.624966   443.497972
0.634966   452.392979
0.644966   460.781254
0.654966   468.441909
0.664966   475.691943
0.674966   482.511530
0.684966   487.926597
0.694966   491.686532
0.704966   494.246150
0.714966   495.960722
0.724966   497.113172
0.734966   497.927510
0.744966   498.573211
0.754966   499.162909
0.764966   499.765079
0.774966   250.190842
0.784966   250.462244
0.794966   250.598322
0.804966   250.437363
0.814966   499.557963
0.824966   496.828341
0.834966   492.411932
0.844966   486.356333
0.854966   479.212427
0.864966   471.888336
0.874966   465.081401
0.884966   459.095346
0.894966   454.604894
0.904966   452.748681
0.914966   453.574600
0.924966   456.316576
0.934966   460.180520
0.944966   464.537916
0.954966   468.999850
0.964966   473.334662
0.974966   477.244582
0.984966   480.316177
0.994966   482.272468
1.004966   483.088691
1.014966   482.892196
1.024966   481.884044
1.034966   480.298887
1.044966   478.334410
1.054966   476.095900
1.064966   473.579042
1.074966   470.687477
1.084966   467.288749
1.094966   463.311194
1.104966   458.751407
1.114966   453.804822
1.124966   449.089453
1.134966   445.486359
1.144966   443.525081
1.154966   443.285169
1.164966   444.501934
1.174966   446.701057
1.184966   449.367123
1.194966   452.111180
1.204966   454.705000
1.214966   457.091374
1.224966   459.340375
1.234966   461.588301
1.244966   463.980329
1.254966   466.641000
1.264966   469.639429
1.274966   472.980519
1.284966   476.578044
1.294966   480.210446
1.304966   483.535791
1.314966   486.219760
1.324966   488.038010
1.334966   488.881226
1.344966   488.768739
1.354966   487.860056
1.364966   486.435714
1.374966   484.866949
1.384966   483.539956
1.394966   482.800223
1.404966   482.875607
1.414966   483.827273
1.424966   485.509341
1.434966   487.550357
1.444966   489.424665
1.454966   490.550097
1.464966   490.434129
1.474966   488.769058
1.484966   485.478267
1.494966   480.740717
1.504966   474.956766
1.514966   468.647711
1.524966   462.077718
1.534966   455.173036
1.544966   448.181962
1.554966   442.122485
1.564966   437.306153
1.574966   433.437408
1.584966   430.205500
1.594966   427.321557
1.604966   424.548353
1.614966   421.697805
1.624966   418.623669
1.634966   415.234933
1.644966   411.555452
1.654966   407.774398
1.664966   404.253789
1.674966   401.475261
1.684966   399.945284
1.694966   400.090850
1.704966   402.159611
1.714966   406.157427
1.724966   411.835600
1.734966   418.694678
1.744966   426.040367
1.754966   433.225763
1.764966   439.724469
1.774966   445.266712
1.784966   449.763427
1.794966   453.246909
1.804966   455.806382
1.814966   457.565933
1.824966   458.679910
1.834966   459.363351
1.844966   459.904260
1.854966   460.637700
1.864966   461.900023
1.874966   463.930153
1.884966   466.798244
1.894966   470.376644
1.904966   474.360003
1.914966   478.169119
1.924966   480.882850
1.934966   481.578066
1.944966   479.693529
1.954966   475.029387
1.964966   467.885471
1.974966   458.660475
1.984966   445.781480
1.994966   427.651154
2.004966   408.479324
2.014966   389.320723
2.024966   369.790170
2.034966   353.210149
2.044966   338.846727
2.054966   320.680400
2.064966   306.334172
2.074966   295.240727
2.084966   283.642128
2.094966   260.047771
2.104966   238.902653
2.114966   226.311391
2.124966   214.566812
2.134966   207.535222
2.144966   203.440651
2.154966   201.133799
2.164966   200.103590
2.174966   199.979210
2.184966   200.332796
2.194966   200.758521
2.204966   200.987930
2.214966   200.921132
2.224966   200.617333
2.234966   200.230603
2.244966   199.911159
2.254966   199.748223
2.264966   199.832381
2.274966   200.086635
2.284966   --undefined--
2.294966   --undefined--
