Time_s   F0_Hz
0.020476   --undefined--
0.030476   --undefined--
0.040476   --undefined--
0.050476   --undefined--
0.060476   347.030231
0.070476   358.031621
0.080476   370.791191
0.090476   380.863688
0.100476   384.917404
0.110476   384.177835
0.120476   378.823183
0.130476   369.115547
0.140476   357.050246
0.150476   345.699161
0.160476   333.931265
0.170476   323.795781
0.180476   318.201639
0.190476   315.251791
0.200476   313.900499
0.210476   313.407866
0.220476   313.151685
0.230476   312.506424
0.240476   310.733548
0.250476   307.126330
0.260476   301.552289
0.270476   294.471257
0.280476   285.275334
0.290476   272.913672
0.300476   264.373287
0.310476   262.007718
0.320476   266.811257
0.330476   279.439280
0.340476   296.376896
0.350476   310.221707
0.360476   342.920872
0.370476   395.898046
0.380476   435.371302
0.390476   460.480599
0.400476   477.086508
0.410476   493.791741
0.420476   251.843191
0.430476   252.569843
0.440476   250.974469
0.450476   248.296167
0.460476   245.960048
0.470476   245.173206
0.480476   246.655297
0.490476   250.680713
0.500476   256.574440
0.510476   262.711623
0.520476   267.724104
0.530476   270.873016
0.540476   271.925185
0.550476   271.073498
0.560476   268.986897
0.570476   266.842017
0.580476   266.012554
0.590476   267.518693
0.600476   271.628993
0.610476   277.708623
0.620476   284.490542
0.630476   290.768135
0.640476   295.865165
0.650476   299.543303
0.660476   301.620961
0.670476   301.885104
0.680476   300.557843
0.690476   298.532146
0.700476   296.946050
0.710476   296.974795
0.720476   299.464456
0.730476   304.263903
0.740476   311.090679
0.750476   321.414898
0.760476   331.800577
0.770476   336.812736
0.780476   338.361969
0.790476   336.834534
0.800476   333.289174
0.810476   329.640370
0.820476   327.913337
0.830476   329.446484
0.840476   335.032278
0.850476   343.960769
0.860476   353.354717
0.870476   363.491882
0.880476   374.632842
0.890476   381.006216
0.900476   382.984956
0.910476   381.653430
0.920476   378.434572
0.930476   375.128461
0.940476   373.420322
0.950476   374.480562
0.960476   378.943199
0.970476   386.788655
0.980476   396.847165
0.990476   407.356809
1.000476   417.073968
1.010476   424.216406
1.020476   427.712774
1.030476   427.589539
1.040476   424.636562
1.050476   420.348264
1.060476   416.581317
1.070476   414.974955
1.080476   416.492029
1.090476   421.286419
1.100476   428.656400
1.110476   437.139490
1.120476   444.966811
1.130476   450.599877
1.140476   453.150167
1.150476   452.634554
1.160476   450.040472
1.170476   447.124943
1.180476   445.941539
1.190476   448.204215
1.200476   454.754215
1.210476   465.154860
1.220476   477.608759
1.230476   489.563157
1.240476   498.743699
1.250476   335.890823
1.260476   336.402893
1.270476   334.504677
1.280476   331.142222
1.290476   327.531027
1.300476   324.823412
1.310476   323.769518
1.320476   324.536963
1.330476   326.716438
1.340476   329.469987
1.350476   331.799578
1.360476   332.864722
1.370476   332.266172
1.380476   330.183410
1.390476   327.305466
1.400476   324.549941
1.410476   322.698137
1.420476   322.150491
1.430476   322.864301
1.440476   324.416293
1.450476   326.913524
1.460476   333.551931
1.470476   307.584574
1.480476   --undefined--
