Time_s   F0_Hz
0.964456   255.027198
0.974456   255.324328
0.984456   257.829981
0.994456   261.996244
1.004456   266.876848
1.014456   271.732476
1.024456   275.955080
1.034456   279.219737
1.044456   281.340185
1.054456   282.118846
1.064456   281.415003
1.074456   279.255990
1.084456   275.839960
1.094456   271.448361
1.104456   266.552259
1.114456   262.053179
1.124456   258.694276
1.134456   256.937330
1.144456   256.986196
1.154456   258.755586
1.164456   261.863070
1.174456   265.657699
1.184456   269.381084
1.194456   272.344498
1.204456   274.026111
1.214456   274.046180
1.224456   272.126361
1.234456   268.055622
1.244456   261.701785
1.254456   253.136031
1.264456   242.827220
1.274456   232.795479
1.284456   222.195526
1.294456   210.996326
1.304456   203.449033
1.314456   198.074067
1.324456   193.739679
1.334456   190.934550
1.344456   191.587732
1.354456   194.409867
1.364456   197.776214
1.374456   201.211507
1.384456   204.673660
1.394456   208.214644
1.404456   211.057126
1.414456   211.904255
1.424456   211.018412
1.434456   208.952640
1.444456   206.308056
1.454456   203.792460
1.464456   201.960650
1.474456   201.238134
1.484456   201.950063
1.494456   204.171539
1.504456   207.907407
1.514456   213.539820
1.524456   219.892819
1.534456   225.015325
1.544456   229.106538
1.554456   232.125569
1.564456   234.217914
1.574456   235.462841
1.584456   235.979494
1.594456   236.031883
1.604456   235.935971
1.614456   235.928220
1.624456   236.114284
1.634456   236.480407
1.644456   236.932163
1.654456   237.355079
1.664456   237.665282
1.674456   237.843296
1.684456   237.938396
1.694456   238.043485
1.704456   238.229072
1.714456   238.460331
1.724456   238.538946
1.734456   238.139061
1.744456   236.939848
1.754456   234.758891
1.764456   231.528613
1.774456   227.035225
1.784456   220.891256
1.794456   214.068656
1.804456   207.875865
1.814456   202.980014
1.824456   199.508014
1.834456   197.549912
1.844456   197.561388
1.854456   199.530402
1.864456   202.644875
1.874456   206.519012
1.884456   211.445519
1.894456   216.714493
1.904456   221.061878
1.914456   225.152992
1.924456   228.996470
1.934456   232.599855
1.944456   236.113177
1.954456   239.772237
1.964456   243.587614
1.974456   247.347766
1.984456   251.084302
1.994456   254.961150
2.004456   259.163436
2.014456   263.882433
2.024456   269.115058
2.034456   274.622419
2.044456   279.816021
2.054456   284.252349
2.064456   287.224822
2.074456   288.018477
2.084456   286.327006
2.094456   282.127139
2.104456   276.027014
2.114456   269.241536
2.124456   263.064093
2.134456   259.213495
2.144456   257.936352
2.154456   259.099441
2.164456   262.425759
2.174456   267.501532
2.184456   273.857390
2.194456   280.861789
2.204456   288.534208
2.214456   296.368783
2.224456   303.588911
2.234456   311.149896
2.244456   321.206811
2.254456   330.268861
2.264456   336.102317
2.274456   340.928835
2.284456   344.896661
2.294456   348.133458
2.304456   350.671464
2.314456   352.384972
2.324456   353.194610
2.334456   353.149109
2.344456   352.424908
2.354456   351.101683
2.364456   349.000819
2.374456   345.587886
2.384456   340.083567
2.394456   331.394325
2.404456   320.435173
2.414456   309.940411
2.424456   301.381624
2.434456   294.598992
2.444456   289.687916
2.454456   289.132168
2.464456   293.582899
2.474456   299.431260
2.484456   305.053580
2.494456   310.488534
2.504456   315.200980
2.514456   317.731452
2.524456   318.832998
2.534456   319.626675
2.544456   320.214310
2.554456   320.596769
2.564456   320.749910
2.574456   320.714400
2.584456   320.616777
2.594456   320.622779
2.604456   320.864710
2.614456   321.367119
2.624456   322.025865
2.634456   322.624317
2.644456   322.967745
2.654456   322.971142
2.664456   322.703615
2.674456   322.324652
2.684456   321.982762
2.694456   321.770333
2.704456   321.729117
2.714456   321.879248
2.724456   322.239210
2.734456   322.792660
2.744456   323.486480
2.754456   324.207250
2.764456   324.842660
2.774456   325.272501
2.784456   325.407972
2.794456   325.186444
2.804456   324.607196
2.814456   323.769244
2.824456   322.857043
2.834456   322.120812
2.844456   321.757044
2.854456   321.854517
2.864456   322.341992
2.874456   323.034211
2.884456   323.705819
2.894456   324.189913
2.904456   324.404433
2.914456   324.360320
2.924456   324.146280
2.934456   323.893373
2.944456   323.722309
2.954456   323.717599
2.964456   323.944691
2.974456   324.481372
2.984456   325.396774
2.994456   326.698855
3.004456   328.244319
3.014456   329.736709
3.024456   330.815024
3.034456   331.171076
3.044456   330.588663
3.054456   328.874579
3.064456   325.770986
3.074456   320.957290
3.084456   314.307760
3.094456   306.292831
3.104456   297.764959
3.114456   288.385799
3.124456   274.388061
3.134456   262.137000
3.144456   273.394610
3.154456   299.201129
